,address,longitude,locality,store_code,staff_numbers,opening_date,store_type,latitude,country_code,continent
0,"Flat 72W
Sally isle
East Deantown
E7B 8EB, High Wycombe",51.62907,HighWycombe,HI-9B97EE4E,34.0,1996-10-25,Local,-0.74934,GB,Europe
1,"Heckerstraße 4/5
50491 Säckingen, Landshut",48.52961,Landshut,LA-0772C7B9,92.0,2013-04-12,Super Store,12.16179,DE,Europe
2,"5 Harrison tunnel
South Lydia
WC9 2BE, Westbury",51.26,Westbury,WE-1DE82CEE,69.0,2014-01-02,Super Store,-2.1875,GB,Europe
3,"Studio 6
Stephen landing
South Simon
B77 2WA, Belper",53.0233,Belper,BE-18074576,35.0,2019-09-09,Local,-1.48119,GB,Europe
4,"Flat 92u
Christian harbors
Port Charlotte
N57 8FJ, Gainsborough",53.38333,Gainsborough,GA-CAD01AC2,36.0,1995-05-15,Local,-0.76667,GB,Europe
5,"7 Gillian rue
West Robertside
PH4 8NY, Rutherglen",55.82885,Rutherglen,RU-C603E990,92.0,2001-01-04,Super Store,-4.21376,GB,Europe
6,"Lilija-Heß-Allee 660
34566 Regensburg, Stuttgart",48.78232,Stuttgart,ST-229D997E,34.0,2000-06-01,Local,9.17702,DE,Europe
7,"510 Jill Mill
South Laura, FL 38723, Kaukauna",44.27804,Kaukauna,KA-FA7ED3B8,31.0,2022-09-05,Local,-88.27205,US,America
8,"3 Lee valleys
West Janetview
DY4M 2RL, Hartley",51.38673,Hartley,HA-974352FE,20.0,2004-09-11,Local,0.30367,GB,Europe
9,"Flat 37
Bennett expressway
New Charlotte
SY8R 5WE, Devizes",51.35084,Devizes,DE-585399CF,36.0,2014-10-11,Local,-1.99421,GB,Europe
10,"520 Fisher Inlet Suite 594
Port Eric, IL 71753, Crystal Lake",42.24113,CrystalLake,CR-792AA8BB,138.0,2018-04-05,Super Store,-88.3162,US,America
11,"Herma-Rädel-Gasse 29
74557 Fulda, Halstenbek",53.63333,Halstenbek,HA-39A446E2,38.0,1994-03-08,Local,9.85,DE,Europe
12,"4 Teresa lodge
West Mathewchester
SP39 3UZ, Lancing",50.82882,Lancing,LA-9B0D9277,39.0,2020-06-05,Local,-0.32247,GB,Europe
13,"74 Mills route
Laurahaven
PL4R 6HA, Newbury",51.40148,Newbury,NE-1D8B1D0C,33.0,2004-05-02,Local,-1.32471,GB,Europe
14,"9 Ryan springs
Lake Allan
E0 1AW, Lymington",50.75767,Lymington,LY-4C3D5D6C,36.0,2016-02-12,Local,-1.5443,GB,eeEurope
15,"Studio 80d
Holly cliffs
Ianport
G4F 4HR, Chapletown",53.46506,Chapletown,CH-6A561423,34.0,2008-01-21,Local,-1.47217,GB,Europe
16,"59 Lee drives
Georginaview
OL93 1GX, Barnet",51.65,Barnet,BA-898BDED3,109.0,2022-08-01,Super Store,-0.2,GB,Europe
17,"Flat 83
Shirley parkway
Sylviashire
N0 5AQ, East Dereham",52.68333,EastDereham,EA-77ECA680,8.0,1994-08-12,Mall Kiosk,0.93333,GB,Europe
18,"Flat 28
Kirby villages
West Vincent
CV4 0RT, Poulton-le-Fylde",53.83333,PoultonleFylde,PO-38790FAE,25.0,2010-10-19,Local,-2.98333,GB,Europe
19,"Studio 00p
George point
West Barbara
S5J 3JT, Bushey",51.64316,Bushey,BU-251A0E5A,35.0,2013-08-05,Local,-0.36053,GB,Europe
20,"Rena-Karz-Gasse 574
66493 Olpe, Ehingen",48.28259,Ehingen,EH-91356030,38.0,2017-12-12,Local,9.72749,DE,Europe
21,"Flat 43d
Hall street
Susanshire
KA9 8HF, Aberdeen",57.14369,Aberdeen,AB-917B715E,119.0,2002-06-18,Super Store,-2.09814,GB,Europe
22,"12 William underpass
South Brettland
L3K 8BB, Surbiton",51.39148,Surbiton,SU-0B4C9A5F,28.0,2007-06-24,Local,-0.29825,GB,Europe
23,"08 Brenda valleys
North Stewartborough
TQ32 7FS, Inverness",57.47908,Inverness,IN-157E1191,29.0,2017-11-04,Local,-4.22398,GB,Europe
24,"Studio 94
Tina freeway
Woodshaven
YO93 9TU, Gainsborough",53.38333,Gainsborough,GA-DA8EEA4A,29.0,2008-07-08,Local,-0.76667,GB,Europe
25,"Flat 8
Cooper estates
Reidchester
KY14 4PW, Lancing",50.82882,Lancing,LA-2B59A825,25.0,1998-12-23,Local,-0.32247,GB,Europe
26,"Köhlerring 00
08489 Fulda, Weimar",50.9803,Weimar,WE-31C8B335,27.0,2011-03-11,Local,11.32903,DE,Europe
27,"Häringstr. 481
62852 Kamenz, Landshut",48.52961,Landshut,LA-F1042C48,34.0,2010-08-25,Local,12.16179,DE,Europe
28,"Flat 7
Chambers shoals
Carolyntown
SM2 0FQ, East Dereham",52.68333,EastDereham,EA-7965E06D,96.0,2016-10-07,Super Store,0.93333,GB,Europe
29,"Studio 1
Davidson harbor
Sheppardview
M9J 9LW, Penzance",50.11861,Penzance,PE-040B15C3,135.0,2018-08-15,Super Store,-5.53715,GB,Europe
30,"Sabina-Baum-Platz 4
10599 Wanzleben, Ehingen",48.28259,Ehingen,EH-DB8676C1,28.0,1996-10-02,Local,9.72749,DE,Europe
31,"Fechnerweg 6
72000 Greiz, Albstadt",48.21644,Albstadt,AL-91D3A03C,30.0,2018-06-18,Local,9.02596,DE,Europe
32,"Kensyring 567
46539 Oschatz, Hechingen",48.35149,Hechingen,HE-E39F4BC6,31.0,1995-06-04,Local,8.96317,DE,Europe
33,"978 Daniel viaduct
Johnsonville
E1A 7TW, Poulton-le-Fylde",53.83333,PoultonleFylde,PO-47A01287,29.0,1994-10-18,Local,-2.98333,GB,Europe
34,"Flat 8
Grace radial
Georginashire
W06 1BZ, Lancing",50.82882,Lancing,LA-D78C5F3F,28.0,2002-07-21,Local,-0.32247,GB,Europe
35,"Studio 55A
Ali brooks
Pearceburgh
SW8 2RT, Mexborough",53.49389,Mexborough,ME-31958763,90.0,2013-12-23,Outlet,-1.29243,GB,Europe
36,"420 Harrison way
Whitemouth
E4 5RZ, Arbroath",56.56317,Arbroath,AR-5E72668B,34.0,2006-10-04,Local,-2.58736,GB,Europe
37,"7 Sophie ways
East Kevinborough
TD1M 0FG, Cowes",50.76306,Cowes,CO-CB3D8C89,120.0,1999-07-17,Super Store,-1.29772,GB,Europe
